Year,Day ,Hours,location-long,location-lat,location-lat,individual-taxon-canonical-name,individual-local-identifier
2018,27-Jun,0,0.387933,36.897266,Stigmochelys pardalis,41711,Charlie
2018,27-Jun,4,0.387926,36.897281,Stigmochelys pardalis,41711,Charlie
2018,27-Jun,8,0.387941,36.897247,Stigmochelys pardalis,41711,Charlie
2018,27-Jun,12,0.387943,36.897304,Stigmochelys pardalis,41711,Charlie
2018,27-Jun,16,0.388525,36.898025,Stigmochelys pardalis,41711,Charlie
2018,27-Jun,20,0.388991,36.897609,Stigmochelys pardalis,41711,Charlie
2018,27-Jun,23,0.389033,36.897598,Stigmochelys pardalis,41711,Charlie
2018,27-Jun,12,0.376155,36.924968,Stigmochelys pardalis,4170,Io
2018,28-Jun,0,0.389023,36.897609,Stigmochelys pardalis,41711,Charlie
2018,28-Jun,4,0.389008,36.897636,Stigmochelys pardalis,41711,Charlie
2018,28-Jun,8,0.38899,36.897579,Stigmochelys pardalis,41711,Charlie
2018,28-Jun,12,0.388998,36.897666,Stigmochelys pardalis,41711,Charlie
2018,28-Jun,16,0.38868,36.897682,Stigmochelys pardalis,41711,Charlie
2018,28-Jun,20,0.38792,36.897281,Stigmochelys pardalis,41711,Charlie
2018,28-Jun,23,0.387953,36.8973,Stigmochelys pardalis,41711,Charlie
2018,28-Jun,12,0.426183,36.840843,Stigmochelys pardalis,4173,Ollie
2018,28-Jun,16,0.42619,36.840843,Stigmochelys pardalis,4173,Ollie
2018,28-Jun,20,0.426146,36.840797,Stigmochelys pardalis,4173,Ollie
2018,28-Jun,23,0.426206,36.840816,Stigmochelys pardalis,4173,Ollie
2018,29-Jun,0,0.387938,36.897262,Stigmochelys pardalis,41711,Charlie
2018,29-Jun,4,0.387898,36.897285,Stigmochelys pardalis,41711,Charlie
2018,29-Jun,8,0.38791,36.897224,Stigmochelys pardalis,41711,Charlie
2018,29-Jun,12,0.387143,36.899066,Stigmochelys pardalis,41711,Charlie
2018,29-Jun,16,0.386658,36.89875,Stigmochelys pardalis,41711,Charlie
2018,29-Jun,20,0.386634,36.898761,Stigmochelys pardalis,41711,Charlie
2018,29-Jun,23,0.386705,36.898769,Stigmochelys pardalis,41711,Charlie
2018,29-Jun,0,0.426184,36.840827,Stigmochelys pardalis,4173,Ollie
2018,29-Jun,4,0.426143,36.840797,Stigmochelys pardalis,4173,Ollie
2018,29-Jun,8,0.426231,36.840789,Stigmochelys pardalis,4173,Ollie
2018,29-Jun,12,0.426215,36.840911,Stigmochelys pardalis,4173,Ollie
2018,29-Jun,16,0.426205,36.840843,Stigmochelys pardalis,4173,Ollie
2018,29-Jun,20,0.426175,36.840862,Stigmochelys pardalis,4173,Ollie
2018,29-Jun,23,0.426226,36.840873,Stigmochelys pardalis,4173,Ollie
2018,30-Jun,0,0.386685,36.898769,Stigmochelys pardalis,41711,Charlie
2018,30-Jun,4,0.386705,36.898799,Stigmochelys pardalis,41711,Charlie
2018,30-Jun,8,0.386691,36.898716,Stigmochelys pardalis,41711,Charlie
2018,30-Jun,12,0.386653,36.89878,Stigmochelys pardalis,41711,Charlie
2018,30-Jun,16,0.386461,36.898601,Stigmochelys pardalis,41711,Charlie
2018,30-Jun,20,0.386473,36.898639,Stigmochelys pardalis,41711,Charlie
2018,30-Jun,23,0.386485,36.898597,Stigmochelys pardalis,41711,Charlie
2018,30-Jun,0,0.426169,36.840797,Stigmochelys pardalis,4173,Ollie
2018,30-Jun,4,0.426131,36.840866,Stigmochelys pardalis,4173,Ollie
2018,30-Jun,8,0.426206,36.840835,Stigmochelys pardalis,4173,Ollie
2018,30-Jun,12,0.426098,36.840805,Stigmochelys pardalis,4173,Ollie
2018,30-Jun,16,0.426135,36.840442,Stigmochelys pardalis,4173,Ollie
2018,30-Jun,20,0.426091,36.840499,Stigmochelys pardalis,4173,Ollie
2018,30-Jun,23,0.426128,36.840446,Stigmochelys pardalis,4173,Ollie
2018,1-Jul,0,0.386465,36.898597,Stigmochelys pardalis,41711,Charlie
2018,1-Jul,4,0.386463,36.898654,Stigmochelys pardalis,41711,Charlie
2018,1-Jul,8,0.38643,36.898578,Stigmochelys pardalis,41711,Charlie
2018,1-Jul,12,0.385913,36.898601,Stigmochelys pardalis,41711,Charlie
2018,1-Jul,16,0.385186,36.898571,Stigmochelys pardalis,41711,Charlie
2018,1-Jul,20,0.385451,36.898696,Stigmochelys pardalis,41711,Charlie
2018,1-Jul,23,0.385475,36.898647,Stigmochelys pardalis,41711,Charlie
2018,1-Jul,0,0.426071,36.840435,Stigmochelys pardalis,4173,Ollie
2018,1-Jul,4,0.426131,36.840442,Stigmochelys pardalis,4173,Ollie
2018,1-Jul,8,0.426051,36.840385,Stigmochelys pardalis,4173,Ollie
2018,1-Jul,12,0.426165,36.840446,Stigmochelys pardalis,4173,Ollie
2018,1-Jul,16,0.426101,36.840408,Stigmochelys pardalis,4173,Ollie
2018,1-Jul,20,0.426115,36.840465,Stigmochelys pardalis,4173,Ollie
2018,1-Jul,23,0.426199,36.840461,Stigmochelys pardalis,4173,Ollie
2018,2-Jul,0,0.38547,36.898635,Stigmochelys pardalis,41711,Charlie
2018,2-Jul,4,0.385426,36.898735,Stigmochelys pardalis,41711,Charlie
2018,2-Jul,8,0.385466,36.89862,Stigmochelys pardalis,41711,Charlie
2018,2-Jul,12,0.385425,36.898742,Stigmochelys pardalis,41711,Charlie
2018,2-Jul,16,0.38527,36.898769,Stigmochelys pardalis,41711,Charlie
2018,2-Jul,20,0.38528,36.898769,Stigmochelys pardalis,41711,Charlie
2018,2-Jul,23,0.38531,36.898735,Stigmochelys pardalis,41711,Charlie
