Year,Day ,Hours,Minutes,location-long,location-lat,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,Timestamp
2018,6/12,12,0,0.387725,36.918643,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-164-12
2018,6/12,16,0,0.291500,36.898578,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-164-16
2018,6/13,12,0,0.385796,36.897338,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-165-12
2018,6/13,16,0,0.385811,36.896789,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-165-16
2018,6/13,20,0,0.385766,36.896797,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-165-20
2018,6/13,23,0,0.385788,36.896789,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-165-23
2018,6/14,0,0,0.385805,36.896797,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-166-0
2018,6/14,4,0,0.385828,36.896804,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-166-4
2018,6/14,8,0,0.385751,36.896827,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-166-8
2018,6/14,12,0,0.385793,36.896747,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-166-12
2018,6/14,16,0,0.385920,36.896465,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-166-16
2018,6/14,20,0,0.385916,36.896434,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-166-20
2018,6/14,23,0,0.385936,36.896499,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-166-23
2018,6/15,0,0,0.385953,36.896472,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-167-0
2018,6/15,4,0,0.385950,36.896511,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-167-4
2018,6/15,8,0,0.385923,36.896492,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-167-8
2018,6/15,12,0,0.386045,36.896595,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-167-12
2018,6/15,16,0,0.386085,36.896568,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-167-16
2018,6/15,20,0,0.386241,36.896137,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-167-20
2018,6/15,23,0,0.386288,36.896179,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-167-23
2018,6/16,0,0,0.386250,36.896186,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-168-0
2018,6/16,4,0,0.386270,36.896244,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-168-4
2018,6/16,8,0,0.386270,36.896301,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-168-8
2018,6/16,12,0,0.386786,36.895854,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-168-12
2018,6/16,16,0,0.387395,36.895442,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-168-16
2018,6/16,20,0,0.387421,36.895454,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-168-20
2018,6/16,23,0,0.387438,36.895469,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-168-23
2018,6/17,0,0,0.387421,36.895481,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-169-0
2018,6/17,4,0,0.387420,36.895469,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-169-4
2018,6/17,8,0,0.387483,36.895397,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-169-8
2018,6/17,12,0,0.388055,36.895664,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-169-12
2018,6/17,16,0,0.388040,36.895671,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-169-16
2018,6/17,20,0,0.388071,36.895626,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-169-20
2018,6/17,23,0,0.388073,36.895641,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-169-23
2018,6/18,0,0,0.388051,36.895652,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-170-0
2018,6/18,4,0,0.388075,36.895664,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-170-4
2018,6/18,8,0,0.388083,36.895679,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-170-8
2018,6/18,12,0,0.388258,36.895290,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-170-12
2018,6/18,16,0,0.388030,36.895336,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-170-16
2018,6/18,20,0,0.387640,36.894966,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-170-20
2018,6/18,23,0,0.387666,36.894947,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-170-23
2018,6/19,0,0,0.387646,36.894870,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-171-0
2018,6/19,4,0,0.387656,36.894996,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-171-4
2018,6/19,8,0,0.387690,36.894859,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-171-8
2018,6/19,12,0,0.387855,36.894958,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-171-12
2018,6/19,16,0,0.387548,36.895309,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-171-16
2018,6/19,20,0,0.387599,36.895393,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-171-20
2018,6/19,23,0,0.387601,36.895355,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-171-23
2018,6/20,0,0,0.387593,36.895339,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-172-0
2018,6/20,4,0,0.387646,36.895469,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-172-4
2018,6/20,8,0,0.387526,36.895393,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-172-8
2018,6/20,12,0,0.387468,36.895469,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-172-12
2018,6/20,16,0,0.387693,36.895336,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-172-16
2018,6/20,20,0,0.387650,36.895378,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,2018-172-20
