Year,Day ,Date,Hours,Time,location-long,location-lat,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
18,164,6/13/18,12,12:00:00,0.387725,36.918643,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,164,6/14/18,16,16:00:00,0.2915,36.898578,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,165,6/15/18,12,12:00:00,0.385796,36.897338,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,165,6/16/18,16,16:00:00,0.385811,36.896789,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,165,6/17/18,20,20:00:00,0.385766,36.896797,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,165,6/18/18,23,23:00:00,0.385788,36.896789,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,166,6/19/18,0,0:00:00,0.385805,36.896797,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,166,6/20/18,4,4:00:00,0.385828,36.896804,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,166,6/21/18,8,8:00:00,0.385751,36.896827,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,166,6/22/18,12,12:00:00,0.385793,36.896747,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,166,6/23/18,16,16:00:00,0.38592,36.896465,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,166,6/24/18,20,20:00:00,0.385916,36.896434,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,166,6/25/18,23,23:00:00,0.385936,36.896499,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,167,6/26/18,0,0:00:00,0.385953,36.896472,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,167,6/27/18,4,4:00:00,0.38595,36.896511,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,167,6/28/18,8,8:00:00,0.385923,36.896492,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,167,6/29/18,12,12:00:00,0.386045,36.896595,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,167,6/30/18,16,16:00:00,0.386085,36.896568,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,167,7/1/18,20,20:00:00,0.386241,36.896137,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,167,7/2/18,23,23:00:00,0.386288,36.896179,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,168,7/3/18,0,0:00:00,0.38625,36.896186,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,168,7/4/18,4,4:00:00,0.38627,36.896244,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,168,7/5/18,8,8:00:00,0.38627,36.896301,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,168,7/6/18,12,12:00:00,0.386786,36.895854,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,168,7/7/18,16,16:00:00,0.387395,36.895442,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,168,7/8/18,20,20:00:00,0.387421,36.895454,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,168,7/9/18,23,23:00:00,0.387438,36.895469,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,169,7/10/18,0,0:00:00,0.387421,36.895481,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,169,7/11/18,4,4:00:00,0.38742,36.895469,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,169,7/12/18,8,8:00:00,0.387483,36.895397,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,169,7/13/18,12,12:00:00,0.388055,36.895664,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,169,7/14/18,16,16:00:00,0.38804,36.895671,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,169,7/15/18,20,20:00:00,0.388071,36.895626,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,169,7/16/18,23,23:00:00,0.388073,36.895641,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,170,7/17/18,0,0:00:00,0.388051,36.895652,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,170,7/18/18,4,4:00:00,0.388075,36.895664,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,170,7/19/18,8,8:00:00,0.388083,36.895679,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,170,7/20/18,12,12:00:00,0.388258,36.89529,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,170,7/21/18,16,16:00:00,0.38803,36.895336,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
