YEAR,DATE,HOUR,MINUTE,location-long,location-lat,SPECIES,TAG,individual-local-identifier
2018,7/10,14,0,0.416786,36.897491,Stigmochelys pardalis,4174.00,Sam
2018,7/10,15,0,0.416803,36.897266,Stigmochelys pardalis,4174.00,Sam
2018,7/10,16,0,0.416806,36.897266,Stigmochelys pardalis,4174.00,Sam
2018,7/10,17,0,0.416781,36.897266,Stigmochelys pardalis,4174.00,Sam
2018,7/10,2018,0,0.416791,36.897266,Stigmochelys pardalis,4174.00,Sam
2018,7/10,2019,0,0.41682,36.897293,Stigmochelys pardalis,4174.00,Sam
2018,7/10,20,0,0.416796,36.897274,Stigmochelys pardalis,4174.00,Sam
2018,7/10,21,0,0.416851,36.897243,Stigmochelys pardalis,4174.00,Sam
2018,7/10,22,0,0.416843,36.897247,Stigmochelys pardalis,4174.00,Sam
2018,7/10,23,0,0.416834,36.897274,Stigmochelys pardalis,4174.00,Sam
2018,7/11,0,0,0.416813,36.897254,Stigmochelys pardalis,4174.00,Sam
2018,7/11,1,0,0.416826,36.8973,Stigmochelys pardalis,4174.00,Sam
2018,7/11,2,0,0.416806,36.897281,Stigmochelys pardalis,4174.00,Sam
2018,7/11,3,0,0.41682,36.897293,Stigmochelys pardalis,4174.00,Sam
2018,7/11,4,0,0.416813,36.897274,Stigmochelys pardalis,4174.00,Sam
2018,7/11,5,0,0.416814,36.897274,Stigmochelys pardalis,4174.00,Sam
2018,7/11,6,0,0.416801,36.897247,Stigmochelys pardalis,4174.00,Sam
2018,7/11,7,0,0.416798,36.897243,Stigmochelys pardalis,4174.00,Sam
2018,7/11,8,0,0.416808,36.897247,Stigmochelys pardalis,4174.00,Sam
2018,7/11,9,0,0.416801,36.897243,Stigmochelys pardalis,4174.00,Sam
2018,7/11,10,0,0.416795,36.897254,Stigmochelys pardalis,4174.00,Sam
2018,7/11,11,0,0.4166,36.896904,Stigmochelys pardalis,4174.00,Sam
2018,7/11,12,0,0.416613,36.896732,Stigmochelys pardalis,4174.00,Sam
2018,7/11,13,0,0.416901,36.896389,Stigmochelys pardalis,4174.00,Sam
2018,7/11,14,0,0.41693,36.896408,Stigmochelys pardalis,4174.00,Sam
2018,7/11,15,0,0.416923,36.896408,Stigmochelys pardalis,4174.00,Sam
2018,7/11,16,0,0.416916,36.896404,Stigmochelys pardalis,4174.00,Sam
2018,7/11,17,0,0.416896,36.896404,Stigmochelys pardalis,4174.00,Sam
2018,7/11,2018,0,0.41691,36.896389,Stigmochelys pardalis,4174.00,Sam
2018,7/11,2019,0,0.416903,36.896427,Stigmochelys pardalis,4174.00,Sam
2018,7/11,20,0,0.416916,36.896434,Stigmochelys pardalis,4174.00,Sam
2018,7/11,21,0,0.416923,36.896415,Stigmochelys pardalis,4174.00,Sam
2018,7/11,22,0,0.416941,36.896434,Stigmochelys pardalis,4174.00,Sam
