DATE,LAT,LONG,IND
2018-06-19,0.34705,36.92393,Hadley
2018-06-20,0.34665,36.92324,Hadley
2018-06-21,0.34703,36.92350,Hadley
2018-06-22,0.34739,36.92377,Hadley
2018-06-25,0.34428,36.92222,Hadley
2018-06-27,0.34447,36.92123,Hadley
2018-06-28,0.34531,36.92119,Hadley
2018-06-30,0.34605,36.92115,Hadley
2018-07-04,0.35639,36.98056,Hadley
2018-07-06,0.35678,36.99500,Hadley
2018-07-10,0.35550,37.03000,Hadley
2018-07-13,0.35153,37.00861,Hadley
2018-07-16,0.35194,36.98833,Hadley
2018-07-17,0.35197,36.98917,Hadley
2018-07-20,0.35383,36.98667,Hadley
2018-07-21,0.35556,36.92278,Hadley
2018-07-22,0.35381,37.15306,Hadley
2018-07-23,0.35381,37.15306,Hadley
2018-07-25,0.34535,36.91334,Hadley
2018-07-26,0.34565,36.91330,Hadley
2018-08-04,0.34473,36.91384,Hadley
2018-07-10,0.35856,36.91844,Morgan
2018-07-12,0.36097,36.92125,Morgan
2018-07-16,0.35672,36.92536,Morgan
2018-07-17,0.35675,36.92542,Morgan
2018-07-20,0.35206,36.92244,Morgan
2018-07-21,0.35269,36.92239,Morgan
2018-07-22,0.35258,36.92250,Morgan
2018-07-23,0.35011,36.81727,Morgan
2018-08-01,0.35398,36.91868,Morgan
2018-08-03,0.35288,36.92536,Morgan
2018-08-07,0.35247,36.92543,Morgan
2018-08-08,0.35385,36.92334,Morgan
2018-06-29,0.40883,36.86236,Quin
2018-07-05,0.40242,36.86617,Quin
2018-07-06,0.40322,36.86661,Quin
2018-07-09,0.40547,36.86486,Quin
2018-07-10,0.40139,36.86225,Quin
2018-07-12,0.40031,36.86208,Quin
2018-07-16,0.42494,36.86158,Quin
2018-07-17,0.41764,36.86211,Quin
2018-07-18,0.40061,36.86056,Quin
2018-07-19,0.40017,36.85961,Quin
2018-07-21,0.42706,36.85925,Quin
2018-07-22,0.42653,36.85942,Quin
2018-07-23,0.40115,36.85724,Quin
2018-07-24,0.40162,36.85733,Quin
2018-07-26,0.40180,36.85944,Quin
2018-07-30,0.40248,36.85000,Quin
2018-06-29,0.29819,36.90978,Riley
2018-06-30,0.29794,36.90922,Riley
2018-07-02,0.29806,36.90944,Riley
2018-07-03,0.29675,36.90856,Riley
2018-07-04,0.29683,36.90861,Riley
2018-07-09,0.29678,36.90833,Riley
2018-07-12,0.29681,36.90833,Riley
2018-07-16,0.29700,36.90778,Riley
2018-07-17,0.29700,36.90783,Riley
2018-07-18,0.29719,36.90783,Riley
2018-07-20,0.29703,36.90786,Riley
2018-07-21,0.29697,36.90769,Riley
2018-07-22,0.29694,36.90778,Riley
2018-07-23,0.29694,36.90778,Riley
2018-07-24,0.29703,36.90772,Riley
2018-07-12,0.41808,36.88653,Toni
2018-07-16,0.41689,36.88458,Toni
2018-07-17,0.41708,36.88467,Toni
2018-07-18,0.41694,36.88419,Toni
2018-07-19,0.41692,36.88433,Toni
2018-07-20,0.41658,36.88439,Toni
2018-07-21,0.41550,36.88386,Toni
2018-07-22,0.41558,36.88406,Toni
2018-07-23,0.41558,36.88406,Toni
2018-07-24,0.40914,36.88330,Toni
2018-07-26,0.40914,36.88300,Toni
2018-07-30,0.40920,36.88339,Toni
2018-08-02,0.41019,36.88910,Toni
2018-06-13,0.34822,36.92355,Alex
2018-06-14,0.34765,36.92381,Alex
2018-06-18,0.34828,36.92383,Alex
2018-06-19,0.34698,36.92386,Alex
2018-06-20,0.34699,36.92387,Alex
2018-06-21,0.34701,36.92387,Alex
2018-06-22,0.34708,36.92378,Alex
2018-06-25,0.34665,36.92209,Alex
2018-06-27,0.34935,36.92257,Alex
2018-06-28,0.34917,36.92263,Alex
2018-06-30,0.34837,36.92133,Alex
2018-07-04,0.34806,36.92102,Alex
2018-07-06,0.34960,36.91759,Alex
2018-07-10,0.35072,36.91804,Alex
2018-07-20,0.35375,36.91919,Alex
2018-07-21,0.35303,36.91880,Alex
2018-07-22,0.35303,36.91880,Alex
2018-07-25,0.35174,36.91918,Alex
2018-07-26,0.35174,36.91918,Alex
