Year,Day ,Timestamp,Hours,location-long,location-lat,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
2018,6/12/2000,2018-164-12,12,0.387725,36.918643,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,6/13/2000,2018-164-16,16,0.2915,36.898578,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,6/14/2000,2018-165-12,12,0.385796,36.897338,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,6/15/2000,2018-165-16,16,0.385811,36.896789,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,6/16/2000,2018-165-20,20,0.385766,36.896797,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,6/17/2000,2018-165-23,23,0.385788,36.896789,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,6/18/2000,2018-166-0,0,0.385805,36.896797,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,6/19/2000,2018-166-4,4,0.385828,36.896804,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,6/20/2000,2018-166-8,8,0.385751,36.896827,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,6/21/2000,2018-166-12,12,0.385793,36.896747,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,6/22/2000,2018-166-16,16,0.38592,36.896465,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,6/23/2000,2018-166-20,20,0.385916,36.896434,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,6/24/2000,2018-166-23,23,0.385936,36.896499,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,6/25/2000,2018-167-0,0,0.385953,36.896472,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,6/26/2000,2018-167-4,4,0.38595,36.896511,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,6/27/2000,2018-167-8,8,0.385923,36.896492,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,6/28/2000,2018-167-12,12,0.386045,36.896595,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,6/29/2000,2018-167-16,16,0.386085,36.896568,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,6/30/2000,2018-167-20,20,0.386241,36.896137,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,7/1/2000,2018-167-23,23,0.386288,36.896179,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,7/2/2000,2018-168-0,0,0.38625,36.896186,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,7/3/2000,2018-168-4,4,0.38627,36.896244,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,7/4/2000,2018-168-8,8,0.38627,36.896301,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,7/5/2000,2018-168-12,12,0.386786,36.895854,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,7/6/2000,2018-168-16,16,0.387395,36.895442,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,7/7/2000,2018-168-20,20,0.387421,36.895454,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,7/8/2000,2018-168-23,23,0.387438,36.895469,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,7/9/2000,2018-169-0,0,0.387421,36.895481,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,7/10/2000,2018-169-4,4,0.38742,36.895469,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,7/11/2000,2018-169-8,8,0.387483,36.895397,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,7/12/2000,2018-169-12,12,0.388055,36.895664,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,7/13/2000,2018-169-16,16,0.38804,36.895671,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,7/14/2000,2018-169-20,20,0.388071,36.895626,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,7/15/2000,2018-169-23,23,0.388073,36.895641,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,7/16/2000,2018-170-0,0,0.388051,36.895652,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,7/17/2000,2018-170-4,4,0.388075,36.895664,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,7/18/2000,2018-170-8,8,0.388083,36.895679,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,7/19/2000,2018-170-12,12,0.388258,36.89529,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,7/20/2000,2018-170-16,16,0.38803,36.895336,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,7/21/2000,2018-170-20,20,0.38764,36.894966,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,7/22/2000,2018-170-23,23,0.387666,36.894947,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,7/23/2000,2018-171-0,0,0.387646,36.89487,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,7/24/2000,2018-171-4,4,0.387656,36.894996,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,7/25/2000,2018-171-8,8,0.38769,36.894859,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,7/26/2000,2018-171-12,12,0.387855,36.894958,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,7/27/2000,2018-171-16,16,0.387548,36.895309,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,7/28/2000,2018-171-20,20,0.387599,36.895393,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,7/29/2000,2018-171-23,23,0.387601,36.895355,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,7/30/2000,2018-172-0,0,0.387593,36.895339,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,7/31/2000,2018-172-4,4,0.387646,36.895469,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,8/1/2000,2018-172-8,8,0.387526,36.895393,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,8/2/2000,2018-172-12,12,0.387468,36.895469,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,8/3/2000,2018-172-16,16,0.387693,36.895336,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,8/4/2000,2018-172-20,20,0.38765,36.895378,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,8/5/2000,2018-172-23,23,0.387706,36.895366,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,8/6/2000,2018-173-0,0,0.38769,36.895355,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,8/7/2000,2018-173-4,4,0.38768,36.895397,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,8/8/2000,2018-173-8,8,0.387671,36.895328,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,8/9/2000,2018-173-12,12,0.387698,36.895374,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,8/10/2000,2018-173-16,16,0.387678,36.895378,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,8/11/2000,2018-173-20,20,0.387656,36.895378,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,8/12/2000,2018-173-23,23,0.387681,36.895359,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,8/13/2000,2018-174-0,0,0.387676,36.895347,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,8/14/2000,2018-174-4,4,0.387675,36.895397,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,8/15/2000,2018-174-8,8,0.38773,36.895378,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,8/16/2000,2018-174-12,12,0.387469,36.895957,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,8/17/2000,2018-174-16,16,0.38661,36.896614,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,8/18/2000,2018-174-20,20,0.386325,36.89648,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,8/19/2000,2018-174-23,23,0.386354,36.896522,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,8/20/2000,2018-175-0,0,0.386341,36.89648,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,8/21/2000,2018-175-4,4,0.386363,36.89656,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,8/22/2000,2018-175-8,8,0.386335,36.896442,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,8/23/2000,2018-175-12,12,0.386618,36.896041,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,8/24/2000,2018-175-16,16,0.386828,36.896663,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,8/25/2000,2018-175-20,20,0.386618,36.897399,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,8/26/2000,2018-175-23,23,0.386634,36.897399,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,8/27/2000,2018-176-0,0,0.386655,36.897369,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,8/28/2000,2018-176-4,4,0.386645,36.897464,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,8/29/2000,2018-176-8,8,0.386633,36.897361,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,8/30/2000,2018-176-12,12,0.387036,36.897541,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,8/31/2000,2018-176-16,16,0.387966,36.897705,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,9/1/2000,2018-176-20,20,0.3879,36.897724,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,9/2/2000,2018-176-23,23,0.387973,36.897701,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,9/3/2000,2018-177-0,0,0.387948,36.897701,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,9/4/2000,2018-177-4,4,0.387955,36.897739,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,9/5/2000,2018-177-8,8,0.387936,36.897686,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,9/6/2000,2018-177-12,12,0.388055,36.897464,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,9/7/2000,2018-177-16,16,0.387673,36.897159,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,9/8/2000,2018-177-20,20,0.387691,36.897148,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,9/9/2000,2018-177-23,23,0.387708,36.897171,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,9/10/2000,2018-178-0,0,0.387696,36.897151,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,9/11/2000,2018-178-4,4,0.387711,36.897171,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,9/12/2000,2018-178-8,8,0.387686,36.897148,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,9/13/2000,2018-178-12,12,0.387566,36.89709,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,9/14/2000,2018-178-16,16,0.388275,36.89735,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,9/15/2000,2018-178-20,20,0.387925,36.897235,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,9/16/2000,2018-178-23,23,0.38791,36.897281,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,9/17/2000,2018-179-0,0,0.387933,36.897266,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,9/18/2000,2018-179-4,4,0.387926,36.897281,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,9/19/2000,2018-179-8,8,0.387941,36.897247,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,9/20/2000,2018-179-12,12,0.387943,36.897304,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,9/21/2000,2018-179-16,16,0.388525,36.898025,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,9/22/2000,2018-179-20,20,0.388991,36.897609,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,9/23/2000,2018-179-23,23,0.389033,36.897598,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,9/24/2000,2018-180-0,0,0.389023,36.897609,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,9/25/2000,2018-180-4,4,0.389008,36.897636,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,9/26/2000,2018-180-8,8,0.38899,36.897579,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,9/27/2000,2018-180-12,12,0.388998,36.897666,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,9/28/2000,2018-180-16,16,0.38868,36.897682,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,9/29/2000,2018-180-20,20,0.38792,36.897281,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,9/30/2000,2018-180-23,23,0.387953,36.8973,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,10/1/2000,2018-181-0,0,0.387938,36.897262,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,10/2/2000,2018-181-4,4,0.387898,36.897285,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,10/3/2000,2018-181-8,8,0.38791,36.897224,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,10/4/2000,2018-181-12,12,0.387143,36.899066,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,10/5/2000,2018-181-16,16,0.386658,36.89875,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,10/6/2000,2018-181-20,20,0.386634,36.898761,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,10/7/2000,2018-181-23,23,0.386705,36.898769,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,10/8/2000,2018-182-0,0,0.386685,36.898769,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,10/9/2000,2018-182-4,4,0.386705,36.898799,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,10/10/2000,2018-182-8,8,0.386691,36.898716,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,10/11/2000,2018-182-12,12,0.386653,36.89878,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,10/12/2000,2018-182-16,16,0.386461,36.898601,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,10/13/2000,2018-182-20,20,0.386473,36.898639,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,10/14/2000,2018-182-23,23,0.386485,36.898597,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,10/15/2000,2018-183-0,0,0.386465,36.898597,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,10/16/2000,2018-183-4,4,0.386463,36.898654,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,10/17/2000,2018-183-8,8,0.38643,36.898578,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,10/18/2000,2018-183-12,12,0.385913,36.898601,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,10/19/2000,2018-183-16,16,0.385186,36.898571,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,10/20/2000,2018-183-20,20,0.385451,36.898696,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,10/21/2000,2018-183-23,23,0.385475,36.898647,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,10/22/2000,2018-184-0,0,0.38547,36.898635,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,10/23/2000,2018-184-4,4,0.385426,36.898735,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,10/24/2000,2018-184-8,8,0.385466,36.89862,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,10/25/2000,2018-184-12,12,0.385425,36.898742,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,10/26/2000,2018-184-16,16,0.38527,36.898769,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,10/27/2000,2018-184-20,20,0.38528,36.898769,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,10/28/2000,2018-184-23,23,0.38531,36.898735,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,10/29/2000,2018-185-0,0,0.38528,36.898742,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,10/30/2000,2018-185-4,4,0.385243,36.898723,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,10/31/2000,2018-185-8,8,0.385298,36.898761,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,11/1/2000,2018-185-12,12,0.384585,36.899784,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,11/2/2000,2018-185-16,16,0.383441,36.90105,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,11/3/2000,2018-185-20,20,0.383441,36.901077,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,11/4/2000,2018-185-23,23,0.383483,36.901023,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,11/5/2000,2018-186-0,0,0.38347,36.901031,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,11/6/2000,2018-186-4,4,0.38342,36.901042,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,11/7/2000,2018-186-8,8,0.383468,36.901001,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,11/8/2000,2018-186-12,12,0.383358,36.901096,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,11/9/2000,2018-186-16,16,0.383576,36.901115,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,11/10/2000,2018-186-20,20,0.383571,36.901107,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,11/11/2000,2018-186-23,23,0.38359,36.901115,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,11/12/2000,2018-187-0,0,0.383591,36.901126,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,11/13/2000,2018-187-4,4,0.383575,36.901115,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,11/14/2000,2018-187-8,8,0.383629,36.901058,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,11/15/2000,2018-187-12,12,0.383533,36.901138,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,11/16/2000,2018-187-16,16,0.383643,36.901172,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,11/17/2000,2018-187-20,20,0.383838,36.901138,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,11/18/2000,2018-187-23,23,0.383781,36.901165,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,11/19/2000,2018-188-0,0,0.3838,36.901191,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,11/20/2000,2018-188-4,4,0.383796,36.901088,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,11/21/2000,2018-188-8,8,0.383856,36.901184,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,11/22/2000,2018-188-12,12,0.383821,36.90121,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,11/23/2000,2018-188-16,16,0.38509,36.90224,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,11/24/2000,2018-188-20,20,0.384981,36.902492,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,11/25/2000,2018-188-23,23,0.384953,36.902481,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,11/26/2000,2018-189-0,0,0.384993,36.902549,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,11/27/2000,2018-189-4,4,0.384978,36.902507,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,11/28/2000,2018-189-8,8,0.385008,36.902519,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,11/29/2000,2018-189-12,12,0.385025,36.902538,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,11/30/2000,2018-189-16,16,0.384698,36.902359,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,12/1/2000,2018-189-20,20,0.384691,36.90232,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,12/2/2000,2018-189-23,23,0.38468,36.902309,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,12/3/2000,2018-190-0,0,0.38469,36.90232,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,12/4/2000,2018-190-4,4,0.384721,36.902359,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,12/5/2000,2018-190-8,8,0.384636,36.90229,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,12/6/2000,2018-190-12,12,0.384709,36.902328,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,12/7/2000,2018-190-16,16,0.384606,36.902088,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,12/8/2000,2018-190-20,20,0.38462,36.902072,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,12/9/2000,2018-190-23,23,0.384636,36.90208,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,12/10/2000,2018-191-0,0,0.384628,36.902099,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,12/11/2000,2018-191-4,4,0.384575,36.90208,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,12/12/2000,2018-191-8,8,0.384613,36.902053,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,12/13/2000,2018-191-12,12,0.384354,36.902263,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,12/14/2000,2018-191-16,16,0.383995,36.905399,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,12/15/2000,2018-191-20,20,0.383983,36.905399,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,12/16/2000,2018-191-23,23,0.383996,36.905387,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,12/17/2000,2018-192-0,0,0.384016,36.905399,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,12/18/2000,2018-192-4,4,0.384045,36.905502,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,12/19/2000,2018-192-8,8,0.383973,36.905349,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,12/20/2000,2018-192-12,12,0.384781,36.905406,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,12/21/2000,2018-192-16,16,0.385356,36.905754,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,12/22/2000,2018-192-20,20,0.385266,36.90575,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,12/23/2000,2018-192-23,23,0.385316,36.905761,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
2018,12/24/2000,2018-193-0,0,0.385311,36.905696,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
