Year,Day ,Date,Hours,Time,location-long,location-lat,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
18,164,2018-06-13,12,12:00:00,0.387725,36.918643,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,165,2018-06-15,12,12:00:00,0.385796,36.897338,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,165,2018-06-16,16,16:00:00,0.385811,36.896789,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,165,2018-06-17,20,20:00:00,0.385766,36.896797,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,165,2018-06-18,23,23:00:00,0.385788,36.896789,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,166,2018-06-19,0,0:00:00,0.385805,36.896797,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,166,2018-06-20,4,4:00:00,0.385828,36.896804,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,166,2018-06-21,8,8:00:00,0.385751,36.896827,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,166,2018-06-22,12,12:00:00,0.385793,36.896747,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,166,2018-06-23,16,16:00:00,0.38592,36.896465,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,166,2018-06-24,20,20:00:00,0.385916,36.896434,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,166,2018-06-25,23,23:00:00,0.385936,36.896499,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,167,2018-06-26,0,0:00:00,0.385953,36.896472,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,167,2018-06-27,4,4:00:00,0.38595,36.896511,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,167,2018-06-28,8,8:00:00,0.385923,36.896492,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,167,2018-06-29,12,12:00:00,0.386045,36.896595,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,167,2018-06-30,16,16:00:00,0.386085,36.896568,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,167,2018-07-01,20,20:00:00,0.386241,36.896137,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,167,2018-07-02,23,23:00:00,0.386288,36.896179,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,168,2018-07-03,0,0:00:00,0.38625,36.896186,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,168,2018-07-04,4,4:00:00,0.38627,36.896244,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,168,2018-07-05,8,8:00:00,0.38627,36.896301,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,168,2018-07-06,12,12:00:00,0.386786,36.895854,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,168,2018-07-07,16,16:00:00,0.387395,36.895442,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,168,2018-07-08,20,20:00:00,0.387421,36.895454,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,168,2018-07-09,23,23:00:00,0.387438,36.895469,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,169,2018-07-10,0,0:00:00,0.387421,36.895481,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,169,2018-07-11,4,4:00:00,0.38742,36.895469,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,169,2018-07-12,8,8:00:00,0.387483,36.895397,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,169,2018-07-13,12,12:00:00,0.388055,36.895664,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,169,2018-07-14,16,16:00:00,0.38804,36.895671,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,169,2018-07-15,20,20:00:00,0.388071,36.895626,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
18,169,2018-07-16,23,23:00:00,0.388073,36.895641,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis
