,ID,step,angle,x,y,ï..,DATE
11,Hadley,2.400012786,2.964486386,0.3555,37.03,Hadley,7/10/2018
12,Hadley,2.250950159,0.164324384,0.351527778,37.00861,Hadley,7/13/2018
13,Hadley,0.093254606,3.098591362,0.351944444,36.98833,Hadley,7/16/2018
14,Hadley,0.3231531,-2.576710097,0.351972222,36.98917,Hadley,7/17/2018
15,Hadley,7.092024726,-0.516722072,0.353833333,36.98667,Hadley,7/20/2018
16,Hadley,25.5567809,3.12603634,0.355555556,36.92278,Hadley,7/21/2018
17,Hadley,0,NA,0.353805556,37.15306,Hadley,7/22/2018
18,Hadley,26.6145645,NA,0.353805556,37.15306,Hadley,7/23/2018
19,Hadley,0.027099815,1.434568598,0.34535,36.91334,Hadley,7/25/2018
20,Hadley,0.101550639,2.674923264,0.34565,36.9133,Hadley,7/26/2018
21,Hadley,64.45939123,NA,0.34473,36.91384,Hadley,8/4/2018
22,Morgan,0.378563091,NA,0.358555556,36.91844444,Morgan,7/10/2018
23,Morgan,0.592916938,1.297819733,0.360972222,36.92125,Morgan,7/12/2018
24,Morgan,0.006644068,-1.074464737,0.356722222,36.92536111,Morgan,7/16/2018
25,Morgan,0.532686042,2.620228363,0.35675,36.92541667,Morgan,7/17/2018
26,Morgan,0.057259032,2.366005247,0.352055556,36.92244444,Morgan,7/20/2018
27,Morgan,0.015813234,2.355172117,0.352694444,36.92238889,Morgan,7/21/2018
28,Morgan,11.68009874,2.446191357,0.352583333,36.9225,Morgan,7/22/2018
29,Morgan,11.25937318,3.129855591,0.35011,36.81727,Morgan,7/23/2018
30,Morgan,0.747944395,0.162502427,0.35398,36.91868,Morgan,8/1/2018
31,Morgan,0.036977911,1.240876436,0.35287622,36.92536111,Morgan,8/3/2018
32,Morgan,0.261919576,2.259024457,0.35246931,36.92542667,Morgan,8/7/2018
33,Morgan,25.57019621,NA,0.35385321,36.92334444,Morgan,8/8/2018
38,Quin,0.098357803,-0.482994611,0.401388889,36.86225,Quin,7/10/2018
39,Quin,2.197810669,2.927301295,0.400305556,36.86208333,Quin,7/12/2018
40,Quin,0.654081702,3.077010422,0.424944444,36.86158333,Quin,7/16/2018
41,Quin,1.528199396,0.20281266,0.417638889,36.8621111,Quin,7/17/2018
42,Quin,0.112058364,1.096176609,0.400611111,36.8605556,Quin,7/18/2018
43,Quin,2.398158148,1.915735616,0.400166667,36.85961111,Quin,7/19/2018
44,Quin,0.050568809,2.783707766,0.427055556,36.85925,Quin,7/21/2018
45,Quin,2.275957002,0.480656503,0.426527778,36.85941667,Quin,7/22/2018
46,Quin,0.043165504,-3.006357338,0.40115,36.85724,Quin,7/23/2018
47,Quin,0.234376527,1.260819463,0.40162,36.857333,Quin,7/24/2018
48,Quin,1.049365561,-3.015225994,0.4018,36.85944,Quin,7/26/2018
49,Quin,10.64209948,NA,0.40248,36.85,Quin,7/30/2018
53,Riley,0.009034286,3.106347459,0.29675,36.90856,Riley,7/3/2018
54,Riley,0.03139137,-2.374590001,0.29683,36.90861,Riley,7/4/2018
55,Riley,0.002673552,1.713225985,0.29678,36.90833,Riley,7/9/2018
56,Riley,0.063342351,-1.300184732,0.29681,36.90833,Riley,7/12/2018
57,Riley,0.005548841,2.870980901,0.297,36.90778,Riley,7/16/2018
58,Riley,0.016932606,-1.570795331,0.297,36.90783,Riley,7/17/2018
59,Riley,0.014642545,2.912214635,0.29719,36.90783,Riley,7/18/2018
60,Riley,0.019609174,1.523987516,0.29703,36.90786,Riley,7/20/2018
61,Riley,0.01033955,-2.603855939,0.29697,36.90769,Riley,7/21/2018
62,Riley,0,NA,0.29694,36.90778,Riley,7/22/2018
63,Riley,0.010424418,NA,0.29694,36.90778,Riley,7/23/2018
64,Riley,0.183938695,NA,0.29703,36.90772,Riley,7/24/2018
66,Toni,0.019663242,2.559382622,0.41689,36.88458,Toni,7/16/2018
67,Toni,0.054711152,-2.333736087,0.41708,36.88467,Toni,7/17/2018
68,Toni,0.015638658,-2.79719138,0.41694,36.88419,Toni,7/18/2018
69,Toni,0.031032497,1.240289821,0.41692,36.88433,Toni,7/19/2018
70,Toni,0.112822671,0.764644049,0.41658,36.88439,Toni,7/20/2018
71,Toni,0.023312896,-2.430090825,0.4155,36.88386,Toni,7/21/2018
72,Toni,0,NA,0.41558,36.88406,Toni,7/22/2018
73,Toni,0.580269253,NA,0.41558,36.88406,Toni,7/23/2018
74,Toni,0.033292909,1.424964728,0.40914,36.8833,Toni,7/24/2018
75,Toni,0.043610044,3.018630378,0.40914,36.883,Toni,7/26/2018
76,Toni,0.63979127,-0.015414625,0.4092,36.88339,Toni,7/30/2018
77,Toni,1.554144594,NA,0.41019,36.8891,Toni,8/2/2018
78,Alex,0.05910229,NA,0.348223653,36.92355266,Alex,6/13/2018
85,Alex,0.246221478,1.992904214,0.346649028,36.92208733,Alex,6/25/2018
86,Alex,0.017309641,2.543055018,0.349346241,36.92256988,Alex,6/27/2018
87,Alex,0.160448038,1.490092746,0.349165779,36.92262763,Alex,6/28/2018
88,Alex,0.043960655,-0.217594484,0.348366397,36.92133212,Alex,6/30/2018
89,Alex,0.405335296,1.023169412,0.348057104,36.9210235,Alex,7/4/2018
90,Alex,0.112258679,1.693944654,0.349598033,36.91758701,Alex,7/6/2018
91,Alex,0.298371748,-0.028436568,0.350721963,36.91804399,Alex,7/10/2018
92,Alex,0.077382882,-2.983240926,0.353751099,36.91918988,Alex,7/20/2018
93,Alex,0.000141723,-1.414405183,0.353033692,36.91879693,Alex,7/21/2018
94,Alex,0.122737861,0.462948329,0.353032602,36.91879786,Alex,7/22/2018
95,Alex,0,NA,0.35174,36.91918,Alex,7/25/2018
96,Alex,1.543270291,NA,0.35174,36.91918,Alex,7/26/2018
