event-id,Year,Day ,Hours,timestamp ,location-long,location-lat,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name,utm-easting,utm-northing,utm-zone,study-timezone,study-local-timestamp,,,,,,,,,,,,
,18,164,12,1816412,0.387725,36.918643,gps,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,,,,,,,,,,,,,,,,,
,18,164,16,1816416,0.291500,36.898578,gps,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,,,,,,,,,,,,,,,,150.491,Io
,18,164,20,1816420,0.000000,0.000000,gps,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,,,,,,,,,,,,,,,,150.451,Kris
,18,164,23,1816423,0.000000,0.000000,gps,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,,,,,,,,,,,,,,,,41713,Ollie
,18,165,0,181650,0.000000,0.000000,gps,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,,,,,,,,,,,,,,,,41710.00,Sam
,18,165,4,181654,0.000000,0.000000,gps,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,,,,,,,,,,,,,,,,,
,18,165,8,181658,0.000000,0.000000,gps,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,,,,,,,,,,,,,,,,,
,18,165,12,1816512,0.385796,36.897338,gps,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,,,,,,,,,,,,,,,,,
,18,165,16,1816516,0.385811,36.896789,gps,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,,,,,,,,,,,,,,,,,
,18,165,20,1816520,0.385766,36.896797,gps,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,,,,,,,,,,,,,,,,,
,18,165,23,1816523,0.385788,36.896789,gps,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,,,,,,,,,,,,,,,,,
,18,166,0,181660,0.385805,36.896797,gps,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,,,,,,,,,,,,,,,,,
,18,166,4,181664,0.385828,36.896804,gps,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,,,,,,,,,,,,,,,,,
,18,166,8,181668,0.385751,36.896827,gps,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,,,,,,,,,,,,,,,,,
,18,166,12,1816612,0.385793,36.896747,gps,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,,,,,,,,,,,,,,,,,
,18,166,16,1816616,0.385920,36.896465,gps,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,,,,,,,,,,,,,,,,,
,18,166,20,1816620,0.385916,36.896434,gps,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,,,,,,,,,,,,,,,,,
,18,166,23,1816623,0.385936,36.896499,gps,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,,,,,,,,,,,,,,,,,
,18,167,0,181670,0.385953,36.896472,gps,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,,,,,,,,,,,,,,,,,
,18,167,4,181674,0.385950,36.896511,gps,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,,,,,,,,,,,,,,,,,
,18,167,8,181678,0.385923,36.896492,gps,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,,,,,,,,,,,,,,,,,
,18,167,12,1816712,0.386045,36.896595,gps,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,,,,,,,,,,,,,,,,,
,18,167,16,1816716,0.386085,36.896568,gps,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,,,,,,,,,,,,,,,,,
,18,167,20,1816720,0.386241,36.896137,gps,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,,,,,,,,,,,,,,,,,
,18,167,23,1816723,0.386288,36.896179,gps,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,,,,,,,,,,,,,,,,,
,18,168,0,181680,0.386250,36.896186,gps,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,,,,,,,,,,,,,,,,,
,18,168,4,181684,0.386270,36.896244,gps,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,,,,,,,,,,,,,,,,,
,18,168,8,181688,0.386270,36.896301,gps,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,,,,,,,,,,,,,,,,,
,18,168,12,1816812,0.386786,36.895854,gps,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,,,,,,,,,,,,,,,,,
,18,168,16,1816816,0.387395,36.895442,gps,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,,,,,,,,,,,,,,,,,
,18,168,20,1816820,0.387421,36.895454,gps,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,,,,,,,,,,,,,,,,,
,18,168,23,1816823,0.387438,36.895469,gps,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,,,,,,,,,,,,,,,,,
,18,169,0,181690,0.387421,36.895481,gps,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,,,,,,,,,,,,,,,,,
,18,169,4,181694,0.387420,36.895469,gps,Stigmochelys pardalis,41711,Charlie,Petticord_Thesis,,,,,,,,,,,,,,,,,
